lineup_id,player0,player1,player2,player3,off_rating,def_rating,eff_fg,reb_rate,to_rate,ft_rate,num_poss,clinch_rating,eff_fg_value,reb_rate_value,to_rate_value,ft_rate_value,
109,Booth,DiVincenzo,Hart,Jenkins,216.7,100,4,2,1.305172437,0,6,7.305172437,92.9,66.7,16.7,0,
12,Arcidiacono,Bridges,Hart,Jenkins,117.5,101,2.733333315,1.329795973,1.736206917,1.5,285.1,7.299336205,55.5,45.6,14.7,40.7,
43,Bridges,Brunson,Hart,Ochefu,117.8,94.9,2.719999982,2,1.606896573,0.972371428,130.7,7.299267983,55.4,58.1,15.3,23.7,
26,Booth,Brunson,Hart,Ochefu,119.5,85.3,3.306666647,1.316819927,1.714655193,0.960428571,195.9,7.298570338,59.8,45.4,14.8,23.5,
54,Bridges,Brunson,Jenkins,Ochefu,122.2,122.2,2.786666648,1.926694089,1.499137953,1.002228571,94.9,7.214727261,55.9,54.8,15.8,24.2,
4,Arcidiacono,Brunson,Jenkins,Ochefu,116.1,81.2,3.066666647,1.51794864,1.671551745,0.954457142,546.8,7.210624175,58.0,48.5,15,23.4,
27,Arcidiacono,Bridges,Brunson,Hart,122.1,86.6,3.053333314,1.316819927,1.305172437,1.5,191.7,7.175325678,57.9,45.4,16.7,38.1,
8,Arcidiacono,Hart,Jenkins,Reynolds,115,98.9,2.933333314,1.543900732,1.606896573,1.079857142,380.1,7.163987762,57.0,48.9,15.3,25.5,
66,Arcidiacono,Jenkins,Ochefu,Reynolds,143.6,110.9,4,0.914562501,0.680172441,1.5,15.3,7.094734942,90.0,39.2,19.6,45.7,
99,Booth,Bridges,Farrell,Rafferty,113.2,75.5,4,2,0,1.061942857,8,7.061942857,90.0,62.9,37.7,25.2,
7,Arcidiacono,Booth,Hart,Jenkins,116,97.3,2.706666648,1.167595398,1.843965537,1.318714285,380.2,7.036941868,55.3,43.1,14.2,29.5,
144,Brunson,Hart,Ochefu,Hart,166.7,166.7,4,0.531769144,2.5,0,3,7.031769144,83.3,33.3,0,0,
139,Bridges,Brunson,Farrell,Rafferty,166.7,166.7,4,0.531769144,2.5,0,3,7.031769144,83.3,33.3,0,0,
51,Bridges,Brunson,Hart,Jenkins,120.3,91.4,3.119999981,1.394676203,0.895689681,1.5,107.3,6.910365865,58.4,46.6,18.6,45.7,
21,Arcidiacono,Booth,Bridges,Jenkins,110.2,97,2.293333316,1.089739122,2.145689673,1.372457142,226.8,6.901219253,52.2,41.9,12.8,30.4,
90,Arcidiacono,DiVincenzo,Hart,Jenkins,100.6,89.4,4,1.998062342,0,0.888771428,9,6.88683377,75.0,55.9,33.5,22.3,
101,Arcidiacono,Bridges,DiVincenzo,Reynolds,113.2,100.6,1.999999983,1.634733054,2.188793121,1.061942857,8,6.885469015,50.0,50.3,12.6,25.2,
15,Arcidiacono,Brunson,Jenkins,Reynolds,117.3,106.7,3.19999998,1.102715168,1.671551745,0.894742857,254.1,6.86900975,59.0,42.1,15,22.4,
45,Booth,Bridges,Brunson,Reynolds,104.1,110.5,1.746666651,2,1.606896573,1.5,124,6.853563224,48.1,58.9,15.3,33.9,
75,Arcidiacono,Brunson,DiVincenzo,Ochefu,113.8,70,1.439999985,1.77746956,2.5,1.127628571,11.4,6.845098116,45.8,52.5,8.8,26.3,
46,Booth,Bridges,Hart,Jenkins,116.8,106.3,2.06666665,1.161107375,2.102586225,1.5,123.3,6.83036025,50.5,43,13,39.7,
53,Arcidiacono,Booth,Brunson,Reynolds,109.9,67.7,2.693333315,1.044322961,2.145689673,0.906685714,101.9,6.790031663,55.2,41.2,12.8,22.6,
