lineup_id,player0,player1,player2,off_rating,def_rating,eff_fg,reb_rate,to_rate,ft_rate,num_poss,clinch_rating,eff_fg_value,reb_rate_value,to_rate_value,ft_rate_value
10,Arcidiacono,Brunson,Ochefu,118.5,84.1,3.133333314,1.498484571,1.693103469,1.067914285,744.3,7.392835639,58.50%,48.2,14.9,25.3
9,Brunson,Hart,Ochefu,116.4,83.2,3.013333314,1.589316893,1.606896573,1.0082,746,7.21774678,57.60%,49.6,15.3,24.3
8,Arcidiacono,Booth,Hart,116.8,95.8,3.013333314,1.245451674,1.671551745,1.127628571,771.4,7.057965304,57.60%,44.3,15,26.3
7,Hart,Jenkins,Ochefu,116,86.6,2.946666648,1.381700157,1.585344849,1.229142857,832.7,7.14285451,57.10%,46.4,15.4,28
6,Brunson,Hart,Jenkins,118.5,90.4,3.23999998,1.401164226,1.499137953,1.103742857,854,7.244045016,59.30%,46.7,15.8,25.9
5,Arcidiacono,Brunson,Jenkins,117.5,89.3,3.173333314,1.336283996,1.628448297,1.026114285,893.5,7.164179892,58.80%,45.7,15.2,24.6
4,Arcidiacono,Jenkins,Ochefu,119.2,88.2,3.15999998,1.342772019,1.779310365,1.282885714,927.3,7.564968078,58.70%,45.8,14.5,28.9
3,Arcidiacono,Brunson,Hart,121.7,86.7,3.333333313,1.381700157,1.736206917,1.139571428,1030.7,7.590811815,60.00%,46.4,14.7,26.5
2,Arcidiacono,Hart,Ochefu,120.6,89.2,3.253333314,1.401164226,1.693103469,1.270942857,1038.6,7.618543865,59.40%,46.7,14.9,28.7
1,Arcidiacono,Hart,Jenkins,118.9,91.5,3.093333314,1.368724111,1.757758641,1.276914285,1257,7.496730351,58.20%,46.2,14.6,28.8
